id,store_id,product_option_id,type,reason,quantity,created_at,is_anomaly,anomaly_type,pred_anomaly
1,1,1,OUT,SALE,1,2025-01-06,0,,0
2,1,1,OUT,SALE,1,2025-01-11,0,,0
3,1,1,OUT,SALE,1,2025-01-17,0,,0
4,1,1,OUT,SALE,1,2025-01-18,0,,0
5,1,1,OUT,SALE,1,2025-01-20,0,,0
6,1,1,OUT,SALE,1,2025-01-25,0,,0
7,1,1,OUT,SALE,1,2025-01-26,0,,0
8,1,1,OUT,SALE,1,2025-01-27,0,,0
9,1,1,OUT,SALE,1,2025-01-28,0,,0
10,1,1,OUT,SALE,1,2025-02-01,0,,0
11,1,1,OUT,SALE,1,2025-02-02,0,,0
12,1,1,OUT,SALE,1,2025-02-03,0,,0
13,1,1,OUT,SALE,1,2025-02-04,0,,0
14,1,1,OUT,SALE,1,2025-02-05,0,,0
15,1,1,OUT,SALE,1,2025-02-06,0,,0
16,1,1,OUT,SALE,1,2025-02-07,0,,0
17,1,1,OUT,SALE,1,2025-02-08,0,,0
18,1,1,OUT,SALE,1,2025-02-09,0,,0
19,1,1,OUT,SALE,1,2025-02-10,0,,0
20,1,1,OUT,SALE,1,2025-02-11,0,,0
21,1,1,OUT,SALE,1,2025-02-12,0,,0
22,1,1,OUT,SALE,1,2025-02-13,0,,0
23,1,1,OUT,SALE,1,2025-02-14,0,,0
24,1,1,OUT,SALE,1,2025-02-15,0,,0
25,1,1,OUT,SALE,1,2025-02-16,0,,0
26,1,1,OUT,SALE,1,2025-02-17,0,,0
27,1,1,OUT,SALE,1,2025-02-18,0,,0
28,1,1,OUT,SALE,1,2025-02-19,0,,0
29,1,1,OUT,SALE,1,2025-02-20,0,,0
30,1,1,OUT,SALE,1,2025-02-21,0,,0
31,1,1,OUT,SALE,1,2025-02-22,0,,0
32,1,1,OUT,SALE,1,2025-02-23,0,,0
33,1,1,OUT,SALE,1,2025-02-24,0,,0
34,1,1,OUT,SALE,1,2025-02-25,0,,0
35,1,1,OUT,SALE,1,2025-02-26,0,,0
36,1,1,OUT,SALE,1,2025-02-27,0,,0
37,1,1,OUT,SALE,1,2025-02-28,0,,0
38,1,1,OUT,SALE,2,2025-03-01,0,,0
39,1,1,OUT,SALE,3,2025-03-02,0,,0
40,1,1,OUT,SALE,3,2025-03-03,0,,0
41,1,1,OUT,SALE,2,2025-03-04,0,,0
42,1,1,OUT,SALE,3,2025-03-05,0,,0
43,1,1,OUT,SALE,2,2025-03-06,0,,0
44,1,1,OUT,SALE,2,2025-03-07,0,,0
45,1,1,OUT,SALE,3,2025-03-08,0,,0
46,1,1,OUT,SALE,3,2025-03-09,0,,0
47,1,1,OUT,SALE,2,2025-03-10,0,,0
48,1,1,OUT,SALE,2,2025-03-11,0,,0
49,1,1,OUT,SALE,2,2025-03-12,0,,0
50,1,1,OUT,SALE,3,2025-03-13,0,,0
51,1,1,OUT,SALE,3,2025-03-14,0,,0
52,1,1,OUT,SALE,3,2025-03-15,0,,0
53,1,1,OUT,SALE,3,2025-03-16,0,,0
54,1,1,OUT,SALE,3,2025-03-17,0,,0
55,1,1,OUT,SALE,3,2025-03-18,0,,0
56,1,1,OUT,SALE,2,2025-03-19,0,,0
57,1,1,OUT,SALE,2,2025-03-20,0,,0
58,1,1,OUT,SALE,2,2025-03-21,0,,0
59,1,1,OUT,SALE,2,2025-03-22,0,,0
60,1,1,OUT,SALE,3,2025-03-23,0,,0
61,1,1,OUT,SALE,3,2025-03-24,0,,0
62,1,1,OUT,SALE,3,2025-03-25,0,,0
63,1,1,OUT,SALE,2,2025-03-26,0,,0
64,1,1,OUT,SALE,2,2025-03-27,0,,0
65,1,1,OUT,SALE,2,2025-03-28,0,,0
66,1,1,OUT,SALE,3,2025-03-29,0,,0
67,1,1,OUT,DAMAGE,19,2025-03-30,1,OFF_HOURS_BULK,1
68,1,1,OUT,SALE,2,2025-03-31,0,,0
69,1,1,OUT,SALE,5,2025-04-01,0,,0
70,1,1,OUT,SALE,6,2025-04-02,0,,0
71,1,1,OUT,SALE,5,2025-04-03,0,,0
72,1,1,OUT,SALE,5,2025-04-04,0,,0
73,1,1,OUT,SALE,5,2025-04-05,0,,0
74,1,1,OUT,SALE,4,2025-04-06,0,,0
75,1,1,OUT,SALE,5,2025-04-07,0,,0
76,1,1,OUT,SALE,5,2025-04-08,0,,0
77,1,1,OUT,SALE,6,2025-04-09,0,,0
78,1,1,OUT,SALE,5,2025-04-10,0,,0
79,1,1,OUT,SALE,5,2025-04-11,0,,0
80,1,1,OUT,SALE,5,2025-04-12,0,,0
81,1,1,OUT,SALE,5,2025-04-13,0,,0
82,1,1,OUT,SALE,5,2025-04-14,0,,0
83,1,1,OUT,SALE,5,2025-04-15,0,,0
84,1,1,OUT,SALE,5,2025-04-16,0,,0
85,1,1,OUT,SALE,4,2025-04-17,0,,0
86,1,1,OUT,SALE,5,2025-04-18,0,,0
87,1,1,OUT,SALE,4,2025-04-19,0,,0
88,1,1,OUT,SALE,6,2025-04-20,0,,0
89,1,1,OUT,SALE,6,2025-04-21,0,,0
90,1,1,OUT,SALE,4,2025-04-22,0,,0
91,1,1,OUT,SALE,4,2025-04-23,0,,0
92,1,1,OUT,SALE,5,2025-04-24,0,,0
93,1,1,OUT,SALE,4,2025-04-25,0,,0
94,1,1,OUT,SALE,4,2025-04-26,0,,0
95,1,1,OUT,SALE,5,2025-04-27,0,,0
96,1,1,OUT,SALE,4,2025-04-28,0,,0
97,1,1,OUT,SALE,5,2025-04-29,0,,0
98,1,1,OUT,SALE,4,2025-04-30,0,,0
99,1,1,OUT,SALE,8,2025-05-01,0,,0
100,1,1,OUT,SALE,6,2025-05-02,0,,0
101,1,1,OUT,SALE,7,2025-05-03,0,,0
102,1,1,OUT,SALE,8,2025-05-04,0,,0
103,1,1,OUT,SALE,6,2025-05-05,0,,0
104,1,1,OUT,SALE,7,2025-05-06,0,,0
105,1,1,OUT,SALE,8,2025-05-07,0,,0
106,1,1,OUT,SALE,5,2025-05-08,0,,0
107,1,1,OUT,SALE,7,2025-05-09,0,,0
108,1,1,OUT,SALE,8,2025-05-10,0,,0
109,1,1,OUT,SALE,8,2025-05-11,0,,0
110,1,1,OUT,SALE,6,2025-05-12,0,,0
111,1,1,OUT,SALE,6,2025-05-13,0,,0
112,1,1,OUT,SALE,7,2025-05-14,0,,0
113,1,1,OUT,SALE,7,2025-05-15,0,,0
114,1,1,OUT,SALE,7,2025-05-16,0,,0
115,1,1,OUT,SALE,8,2025-05-17,0,,0
116,1,1,OUT,SALE,7,2025-05-18,0,,0
117,1,1,OUT,SALE,7,2025-05-19,0,,0
118,1,1,OUT,SALE,7,2025-05-20,0,,0
119,1,1,OUT,SALE,6,2025-05-21,0,,0
120,1,1,OUT,SALE,8,2025-05-22,0,,0
121,1,1,OUT,SALE,7,2025-05-23,0,,0
122,1,1,OUT,SALE,7,2025-05-24,0,,0
123,1,1,OUT,SALE,8,2025-05-25,0,,0
124,1,1,OUT,SALE,6,2025-05-26,0,,0
125,1,1,OUT,SALE,7,2025-05-27,0,,0
126,1,1,OUT,SALE,8,2025-05-28,0,,0
127,1,1,OUT,SALE,6,2025-05-29,0,,0
128,1,1,OUT,SALE,7,2025-05-30,0,,0
129,1,1,OUT,SALE,8,2025-05-31,0,,0
130,1,1,OUT,SALE,10,2025-06-01,0,,0
131,1,1,OUT,SALE,10,2025-06-02,0,,0
132,1,1,OUT,SALE,8,2025-06-03,0,,0
133,1,1,OUT,SALE,7,2025-06-04,0,,0
134,1,1,OUT,SALE,7,2025-06-05,0,,0
135,1,1,OUT,SALE,7,2025-06-06,0,,0
136,1,1,OUT,SALE,9,2025-06-07,0,,0
137,1,1,OUT,SALE,10,2025-06-08,0,,0
138,1,1,OUT,SALE,8,2025-06-09,0,,0
139,1,1,OUT,SALE,9,2025-06-10,0,,0
140,1,1,OUT,SALE,8,2025-06-11,0,,0
141,1,1,OUT,SALE,10,2025-06-12,0,,0
142,1,1,OUT,SALE,8,2025-06-13,0,,0
143,1,1,OUT,SALE,13,2025-06-14,0,,0
144,1,1,OUT,SALE,10,2025-06-15,0,,0
145,1,1,OUT,SALE,7,2025-06-16,0,,0
146,1,1,OUT,SALE,7,2025-06-17,0,,0
147,1,1,OUT,SALE,9,2025-06-18,0,,0
148,1,1,OUT,SALE,8,2025-06-19,0,,0
149,1,1,OUT,SALE,9,2025-06-20,0,,0
150,1,1,OUT,SALE,10,2025-06-21,0,,0
151,1,1,OUT,SALE,0,2025-06-22,1,DATA_ERROR,0
152,1,1,OUT,SALE,7,2025-06-23,0,,0
153,1,1,OUT,SALE,7,2025-06-24,0,,0
154,1,1,OUT,SALE,8,2025-06-25,0,,0
155,1,1,OUT,SALE,9,2025-06-26,0,,0
156,1,1,OUT,SALE,8,2025-06-27,0,,0
157,1,1,OUT,SALE,8,2025-06-28,0,,0
158,1,1,OUT,SALE,10,2025-06-29,0,,0
159,1,1,OUT,SALE,9,2025-06-30,0,,0
160,1,1,OUT,SALE,8,2025-07-01,0,,0
161,1,1,OUT,SALE,9,2025-07-02,0,,0
162,1,1,OUT,SALE,9,2025-07-03,0,,0
163,1,1,OUT,SALE,8,2025-07-04,0,,0
164,1,1,OUT,SALE,11,2025-07-05,0,,0
165,1,1,OUT,SALE,11,2025-07-06,0,,0
166,1,1,OUT,SALE,10,2025-07-07,0,,0
167,1,1,OUT,SALE,10,2025-07-08,0,,0
168,1,1,OUT,SALE,7,2025-07-09,0,,0
169,1,1,OUT,SALE,8,2025-07-10,0,,0
170,1,1,OUT,SALE,9,2025-07-11,0,,0
171,1,1,OUT,SALE,11,2025-07-12,0,,0
172,1,1,OUT,SALE,11,2025-07-13,0,,0
173,1,1,OUT,SALE,13,2025-07-14,0,,0
174,1,1,OUT,SALE,9,2025-07-15,0,,0
175,1,1,OUT,SALE,10,2025-07-16,0,,0
176,1,1,OUT,SALE,10,2025-07-17,0,,0
177,1,1,OUT,SALE,9,2025-07-18,0,,0
178,1,1,OUT,SALE,10,2025-07-19,0,,0
179,1,1,OUT,SALE,24,2025-07-20,0,,1
180,1,1,OUT,SALE,18,2025-07-21,0,,0
181,1,1,OUT,SALE,19,2025-07-22,0,,1
182,1,1,OUT,SALE,18,2025-07-23,0,,0
183,1,1,OUT,SALE,19,2025-07-24,0,,1
184,1,1,OUT,SALE,25,2025-07-25,0,,1
185,1,1,OUT,SALE,8,2025-07-26,0,,0
186,1,1,OUT,SALE,11,2025-07-27,0,,0
187,1,1,OUT,SALE,7,2025-07-28,0,,0
188,1,1,OUT,SALE,8,2025-07-29,0,,0
189,1,1,OUT,SALE,10,2025-07-30,0,,0
190,1,1,OUT,SALE,9,2025-07-31,0,,0
191,1,1,OUT,SALE,7,2025-08-01,0,,0
192,1,1,OUT,SALE,9,2025-08-02,0,,0
193,1,1,OUT,SALE,10,2025-08-03,0,,0
194,1,1,OUT,SALE,7,2025-08-04,0,,0
195,1,1,OUT,SALE,8,2025-08-05,0,,0
196,1,1,OUT,SALE,8,2025-08-06,0,,0
197,1,1,OUT,SALE,8,2025-08-07,0,,0
198,1,1,OUT,SALE,10,2025-08-08,0,,0
199,1,1,OUT,SALE,10,2025-08-09,0,,0
200,1,1,OUT,SALE,7,2025-08-10,0,,0
201,1,1,OUT,SALE,8,2025-08-11,0,,0
202,1,1,OUT,SALE,8,2025-08-12,0,,0
