id,store_id,product_option_id,type,reason,quantity,created_at,is_anomaly,anomaly_type
1,1,1,OUT,SALE,5,2025-01-01,0,
2,1,1,OUT,SALE,6,2025-01-02,0,
3,1,1,OUT,SALE,5,2025-01-03,0,
4,1,1,OUT,SALE,6,2025-01-04,0,
5,1,1,OUT,SALE,5,2025-01-05,0,
6,1,1,OUT,SALE,5,2025-01-06,0,
7,1,1,OUT,SALE,5,2025-01-07,0,
8,1,1,OUT,SALE,4,2025-01-08,0,
9,1,1,OUT,SALE,5,2025-01-09,0,
10,1,1,OUT,SALE,5,2025-01-10,0,
11,1,1,OUT,SALE,6,2025-01-11,0,
12,1,1,OUT,SALE,5,2025-01-12,0,
13,1,1,OUT,SALE,6,2025-01-13,0,
14,1,1,OUT,SALE,5,2025-01-14,0,
15,1,1,OUT,SALE,4,2025-01-15,0,
16,1,1,OUT,SALE,6,2025-01-16,0,
17,1,1,OUT,SALE,4,2025-01-17,0,
18,1,1,OUT,SALE,6,2025-01-18,0,
19,1,1,OUT,SALE,4,2025-01-19,0,
20,1,1,OUT,SALE,4,2025-01-20,0,
21,1,1,OUT,SALE,5,2025-01-21,0,
22,1,1,OUT,SALE,6,2025-01-22,0,
23,1,1,OUT,SALE,5,2025-01-23,0,
24,1,1,OUT,SALE,5,2025-01-24,0,
25,1,1,OUT,SALE,10,2025-01-25,0,
26,1,1,OUT,SALE,9,2025-01-26,0,
27,1,1,OUT,SALE,8,2025-01-27,0,
28,1,1,OUT,SALE,9,2025-01-28,0,
29,1,1,OUT,SALE,6,2025-01-29,0,
30,1,1,OUT,SALE,5,2025-01-30,0,
31,1,1,OUT,SALE,4,2025-01-31,0,
32,1,1,OUT,SALE,6,2025-02-01,0,
33,1,1,OUT,SALE,5,2025-02-02,0,
34,1,1,OUT,SALE,4,2025-02-03,0,
35,1,1,OUT,SALE,5,2025-02-04,0,
36,1,1,OUT,SALE,5,2025-02-05,0,
37,1,1,OUT,SALE,5,2025-02-06,0,
38,1,1,OUT,SALE,4,2025-02-07,0,
39,1,1,OUT,SALE,5,2025-02-08,0,
40,1,1,OUT,SALE,6,2025-02-09,0,
41,1,1,OUT,SALE,5,2025-02-10,0,
42,1,1,OUT,SALE,4,2025-02-11,0,
43,1,1,OUT,SALE,5,2025-02-12,0,
44,1,1,OUT,SALE,4,2025-02-13,0,
45,1,1,OUT,SALE,4,2025-02-14,0,
46,1,1,OUT,SALE,6,2025-02-15,0,
47,1,1,OUT,DAMAGE,17,2025-02-16,1,REPEATED_LOSS
48,1,1,OUT,SALE,5,2025-02-17,0,
49,1,1,OUT,SALE,5,2025-02-18,0,
50,1,1,OUT,SALE,5,2025-02-19,0,
51,1,1,OUT,SALE,4,2025-02-20,0,
52,1,1,OUT,SALE,5,2025-02-21,0,
53,1,1,OUT,SALE,6,2025-02-22,0,
54,1,1,OUT,SALE,5,2025-02-23,0,
55,1,1,OUT,SALE,6,2025-02-24,0,
56,1,1,OUT,SALE,3,2025-02-25,0,
57,1,1,OUT,SALE,5,2025-02-26,0,
58,1,1,OUT,SALE,5,2025-02-27,0,
59,1,1,OUT,SALE,5,2025-02-28,0,
60,1,1,OUT,SALE,4,2025-03-01,0,
61,1,1,OUT,SALE,3,2025-03-02,0,
62,1,1,OUT,SALE,4,2025-03-03,0,
63,1,1,OUT,SALE,4,2025-03-04,0,
64,1,1,OUT,SALE,5,2025-03-05,0,
65,1,1,OUT,SALE,4,2025-03-06,0,
66,1,1,OUT,SALE,3,2025-03-07,0,
67,1,1,OUT,SALE,4,2025-03-08,0,
68,1,1,OUT,SALE,5,2025-03-09,0,
69,1,1,OUT,SALE,4,2025-03-10,0,
70,1,1,OUT,SALE,4,2025-03-11,0,
71,1,1,OUT,SALE,4,2025-03-12,0,
72,1,1,OUT,SALE,4,2025-03-13,0,
73,1,1,OUT,SALE,4,2025-03-14,0,
74,1,1,OUT,SALE,6,2025-03-15,0,
75,1,1,OUT,SALE,7,2025-03-16,0,
76,1,1,OUT,SALE,6,2025-03-17,0,
77,1,1,OUT,SALE,5,2025-03-18,0,
78,1,1,OUT,SALE,4,2025-03-19,0,
79,1,1,OUT,SALE,4,2025-03-20,0,
80,1,1,OUT,SALE,4,2025-03-21,0,
81,1,1,OUT,SALE,4,2025-03-22,0,
82,1,1,OUT,SALE,4,2025-03-23,0,
83,1,1,OUT,SALE,4,2025-03-24,0,
84,1,1,OUT,SALE,4,2025-03-25,0,
85,1,1,OUT,SALE,3,2025-03-26,0,
86,1,1,OUT,SALE,4,2025-03-27,0,
87,1,1,OUT,SALE,4,2025-03-28,0,
88,1,1,OUT,SALE,5,2025-03-29,0,
89,1,1,OUT,SALE,5,2025-03-30,0,
90,1,1,OUT,SALE,4,2025-03-31,0,
91,1,1,OUT,SALE,3,2025-04-01,0,
92,1,1,OUT,SALE,2,2025-04-02,0,
93,1,1,OUT,SALE,3,2025-04-03,0,
94,1,1,OUT,SALE,3,2025-04-04,0,
95,1,1,OUT,SALE,4,2025-04-05,0,
96,1,1,OUT,SALE,3,2025-04-06,0,
97,1,1,OUT,SALE,3,2025-04-07,0,
98,1,1,OUT,SALE,3,2025-04-08,0,
99,1,1,OUT,SALE,2,2025-04-09,0,
100,1,1,OUT,SALE,3,2025-04-10,0,
101,1,1,OUT,SALE,3,2025-04-11,0,
102,1,1,OUT,SALE,3,2025-04-12,0,
103,1,1,OUT,SALE,3,2025-04-13,0,
104,1,1,OUT,SALE,3,2025-04-14,0,
105,1,1,OUT,SALE,2,2025-04-15,0,
106,1,1,OUT,SALE,3,2025-04-16,0,
107,1,1,OUT,SALE,3,2025-04-17,0,
108,1,1,OUT,SALE,2,2025-04-18,0,
109,1,1,OUT,SALE,3,2025-04-19,0,
110,1,1,OUT,SALE,3,2025-04-20,0,
111,1,1,OUT,SALE,2,2025-04-21,0,
112,1,1,OUT,SALE,2,2025-04-22,0,
113,1,1,OUT,SALE,3,2025-04-23,0,
114,1,1,OUT,SALE,2,2025-04-24,0,
115,1,1,OUT,SALE,3,2025-04-25,0,
116,1,1,OUT,SALE,3,2025-04-26,0,
117,1,1,OUT,SALE,4,2025-04-27,0,
118,1,1,OUT,SALE,2,2025-04-28,0,
119,1,1,OUT,SALE,3,2025-04-29,0,
120,1,1,OUT,SALE,3,2025-04-30,0,
121,1,1,OUT,SALE,1,2025-05-01,0,
122,1,1,OUT,SALE,1,2025-05-02,0,
123,1,1,OUT,SALE,2,2025-05-03,0,
124,1,1,OUT,SALE,1,2025-05-04,0,
125,1,1,OUT,SALE,1,2025-05-05,0,
126,1,1,OUT,SALE,1,2025-05-06,0,
127,1,1,OUT,SALE,2,2025-05-07,0,
128,1,1,OUT,SALE,1,2025-05-08,0,
129,1,1,OUT,SALE,1,2025-05-09,0,
130,1,1,OUT,SALE,2,2025-05-10,0,
131,1,1,OUT,SALE,2,2025-05-11,0,
132,1,1,OUT,SALE,1,2025-05-12,0,
133,1,1,OUT,SALE,1,2025-05-13,0,
134,1,1,OUT,SALE,1,2025-05-14,0,
135,1,1,OUT,SALE,1,2025-05-15,0,
136,1,1,OUT,SALE,1,2025-05-16,0,
137,1,1,OUT,SALE,1,2025-05-17,0,
138,1,1,OUT,SALE,2,2025-05-18,0,
139,1,1,OUT,SALE,1,2025-05-19,0,
140,1,1,OUT,SALE,1,2025-05-20,0,
141,1,1,OUT,SALE,1,2025-05-21,0,
142,1,1,OUT,SALE,1,2025-05-22,0,
143,1,1,OUT,SALE,2,2025-05-23,0,
144,1,1,OUT,SALE,2,2025-05-24,0,
145,1,1,OUT,SALE,1,2025-05-25,0,
146,1,1,OUT,SALE,2,2025-05-26,0,
147,1,1,OUT,SALE,1,2025-05-27,0,
148,1,1,OUT,SALE,2,2025-05-28,0,
149,1,1,OUT,SALE,2,2025-05-29,0,
150,1,1,OUT,SALE,1,2025-05-30,0,
151,1,1,OUT,SALE,1,2025-05-31,0,
152,1,1,OUT,SALE,1,2025-06-06,0,
153,1,1,OUT,SALE,1,2025-06-07,0,
154,1,1,OUT,SALE,1,2025-06-08,0,
155,1,1,OUT,SALE,1,2025-06-10,0,
156,1,1,OUT,SALE,1,2025-06-14,0,
157,1,1,OUT,SALE,1,2025-06-15,0,
158,1,1,OUT,SALE,1,2025-06-16,0,
159,1,1,OUT,SALE,1,2025-06-21,0,
160,1,1,OUT,SALE,1,2025-06-22,0,
161,1,1,OUT,SALE,1,2025-06-28,0,
162,1,1,OUT,SALE,1,2025-06-29,0,
163,1,1,OUT,DAMAGE,5,2025-08-02,1,THEFT_SPIKE
164,1,1,OUT,SALE,1,2025-08-04,0,
165,1,1,OUT,SALE,1,2025-08-09,0,
166,1,1,OUT,SALE,1,2025-08-13,0,
167,1,1,OUT,SALE,1,2025-08-16,0,
168,1,1,OUT,SALE,1,2025-08-18,0,
169,1,1,OUT,SALE,1,2025-08-21,0,
170,1,1,OUT,SALE,1,2025-08-22,0,
171,1,1,OUT,SALE,1,2025-08-23,0,
172,1,1,OUT,SALE,1,2025-08-26,0,
173,1,1,OUT,SALE,1,2025-08-29,0,
174,1,1,OUT,SALE,1,2025-08-31,0,
175,1,1,OUT,SALE,1,2025-09-01,0,
